date,yyyy_mm,day,product,theory,infor,present,missing_vs_theory,missing_vs_infor
2020-11-24,2020-11,24,VNP14IMG,240,240,240,0,0
2020-11-25,2020-11,25,VNP14IMG,240,239,239,1,0
2020-11-26,2020-11,26,VNP14IMG,240,240,240,0,0
2020-11-27,2020-11,27,VNP14IMG,240,240,240,0,0
2020-11-28,2020-11,28,VNP14IMG,240,240,240,0,0
2020-11-29,2020-11,29,VNP14IMG,240,240,240,0,0
2020-11-30,2020-11,30,VNP14IMG,240,240,240,0,0
2020-12-01,2020-12,1,VNP14IMG,240,240,240,0,0
2020-12-02,2020-12,2,VNP14IMG,240,240,240,0,0
2020-12-03,2020-12,3,VNP14IMG,240,240,240,0,0
2020-12-04,2020-12,4,VNP14IMG,240,240,240,0,0
2020-12-05,2020-12,5,VNP14IMG,240,240,240,0,0
2020-12-06,2020-12,6,VNP14IMG,240,240,240,0,0
2020-12-07,2020-12,7,VNP14IMG,240,240,240,0,0
2020-12-08,2020-12,8,VNP14IMG,240,240,240,0,0
2020-12-09,2020-12,9,VNP14IMG,240,240,240,0,0
2020-12-10,2020-12,10,VNP14IMG,240,237,237,3,0
2020-12-11,2020-12,11,VNP14IMG,240,240,240,0,0
2020-12-12,2020-12,12,VNP14IMG,240,240,240,0,0
2020-12-13,2020-12,13,VNP14IMG,240,240,240,0,0
2020-12-14,2020-12,14,VNP14IMG,240,240,240,0,0
2020-12-15,2020-12,15,VNP14IMG,240,240,240,0,0
2020-12-16,2020-12,16,VNP14IMG,240,240,240,0,0
2020-12-17,2020-12,17,VNP14IMG,240,240,240,0,0
2020-12-18,2020-12,18,VNP14IMG,240,240,240,0,0
2020-12-19,2020-12,19,VNP14IMG,240,240,240,0,0
2020-12-20,2020-12,20,VNP14IMG,240,240,240,0,0
2020-12-21,2020-12,21,VNP14IMG,240,240,240,0,0
2020-12-22,2020-12,22,VNP14IMG,240,240,240,0,0
2020-12-23,2020-12,23,VNP14IMG,240,240,240,0,0
2020-12-24,2020-12,24,VNP14IMG,240,240,240,0,0
2020-12-25,2020-12,25,VNP14IMG,240,239,239,1,0
2020-12-26,2020-12,26,VNP14IMG,240,240,240,0,0
2020-12-27,2020-12,27,VNP14IMG,240,240,240,0,0
2020-12-28,2020-12,28,VNP14IMG,240,240,240,0,0
2020-12-29,2020-12,29,VNP14IMG,240,240,240,0,0
2020-12-30,2020-12,30,VNP14IMG,240,240,240,0,0
2020-12-31,2020-12,31,VNP14IMG,240,240,240,0,0
